AD;2;Canillo;Parish;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AD', 'subdivision' => '2', 'regionName' => 'Canillo', 'regionType' => 'Parish']);"
AD;3;Encamp;Parish;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AD', 'subdivision' => '3', 'regionName' => 'Encamp', 'regionType' => 'Parish']);"
AD;4;La Massana;Parish;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AD', 'subdivision' => '4', 'regionName' => 'La Massana', 'regionType' => 'Parish']);"
AD;5;Ordino;Parish;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AD', 'subdivision' => '5', 'regionName' => 'Ordino', 'regionType' => 'Parish']);"
AD;6;Sant Juliˆ de L˜ria;Parish;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AD', 'subdivision' => '6', 'regionName' => 'Sant Juliˆ de L˜ria', 'regionType' => 'Parish']);"
AD;7;Andorra la Vella;Parish;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AD', 'subdivision' => '7', 'regionName' => 'Andorra la Vella', 'regionType' => 'Parish']);"
AD;8;Escaldes-Engordany;Parish;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AD', 'subdivision' => '8', 'regionName' => 'Escaldes-Engordany', 'regionType' => 'Parish']);"
AE;AJ; Ajman;Emirate;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AE', 'subdivision' => 'AJ', 'regionName' => ' Ajman', 'regionType' => 'Emirate']);"
AE;AZ;Abu Züaby [Abu Dhabi];Emirate;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AE', 'subdivision' => 'AZ', 'regionName' => 'Abu Züaby [Abu Dhabi]', 'regionType' => 'Emirate']);"
AE;DU;Dubayy [Dubai];Emirate;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AE', 'subdivision' => 'DU', 'regionName' => 'Dubayy [Dubai]', 'regionType' => 'Emirate']);"
AE;FU;Al Fujayrah;Emirate;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AE', 'subdivision' => 'FU', 'regionName' => 'Al Fujayrah', 'regionType' => 'Emirate']);"
AE;RK;RaÕs al Khaymah;Emirate;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AE', 'subdivision' => 'RK', 'regionName' => 'RaÕs al Khaymah', 'regionType' => 'Emirate']);"
AE;SH;Ash Shariqah [Sharjah];Emirate;"$this->insert('{{%net_frenzel_subdivision}}',['iso2' => 'AE', 'subdivision' => 'SH', 'regionName' => 'Ash Shariqah [Sharjah]', 'regionType' => 'Emirate']);"
